bas_dd,sector_id,etf_n,etf_idx_bp,etf_ret_1d_bp,etf_shares_sum,etf_value_sum,breadth_up_bp,is_partial
20250303,delta,1,10020,132,1034400,200400000,8700,false
20250304,delta,1,9912,-108,1035260,200410000,9800,false
20250305,delta,1,9909,-3,1036120,200420000,800,false
20250306,delta,1,10010,102,1036980,200430000,1900,false
20250307,delta,1,9872,-138,1037840,200440000,3000,false
20250310,delta,1,9839,-33,1038700,200450000,4100,false
20250311,delta,1,9910,72,1039560,200460000,5200,false
20250312,delta,1,9744,-168,1040420,200470000,6300,false
20250313,delta,1,9683,-63,1041280,200480000,7400,false
20250314,delta,1,9724,42,1042140,200490000,8500,false
20250317,delta,1,9867,147,1043000,200500000,9600,false
20250318,delta,1,9775,-93,1043860,200510000,600,false
20250319,delta,1,9787,12,1044720,200520000,1700,false
20250320,delta,1,9902,117,1045580,200530000,2800,false
20250321,delta,1,9780,-123,1046440,200540000,3900,false
20250324,delta,1,9762,-18,1047300,200550000,5000,false
20250325,delta,1,9847,87,1048160,200560000,6100,false
20250326,delta,1,9696,-153,1049020,200570000,7200,false
20250327,delta,1,9649,-48,1049880,200580000,8300,false
20250328,delta,1,9704,57,1050740,200590000,9400,false
20250331,delta,1,9861,162,1051600,200600000,400,false
20250401,delta,1,9784,-78,1052460,200610000,1500,false
20250402,delta,1,9810,27,1053320,200620000,2600,false
20250403,delta,1,9939,132,1054180,200630000,3700,false
20250404,delta,1,9832,-108,1055040,200640000,4800,false
20250407,delta,1,9829,-3,1055900,200650000,5900,false
20250408,delta,1,9929,102,1056760,200660000,7000,false
20250409,delta,1,9792,-138,1057620,200670000,8100,false
20250410,delta,1,9760,-33,1058480,200680000,9200,false
20250411,delta,1,9830,72,1059340,200690000,200,false
20250414,delta,1,9665,-168,1060200,200700000,1300,false
20250415,delta,1,9604,-63,1061060,200710000,2400,false
20250416,delta,1,9644,42,1061920,200720000,3500,false
20250417,delta,1,9786,147,1062780,200730000,4600,false
20250418,delta,1,9695,-93,1063640,200740000,5700,false
20250421,delta,1,9707,12,1064500,200750000,6800,false
20250422,delta,1,9821,117,1065360,200760000,7900,false
20250423,delta,1,9700,-123,1066220,200770000,9000,false
20250424,delta,1,9683,-18,1067080,200780000,0,false
20250425,delta,1,9767,87,1067940,200790000,1100,false
20250428,delta,2,9618,-153,1968800,200800000,2200,false
20250429,delta,2,9572,-48,1969660,200810000,3300,false
20250430,delta,2,9627,57,1970520,200820000,4400,false
20250501,delta,2,9783,162,1971380,200830000,5500,false
20250502,delta,2,9707,-78,1972240,200840000,6600,false
20250505,delta,2,9733,27,1973100,200850000,7700,false
20250506,delta,2,9861,132,1973960,200860000,8800,false
20250507,delta,2,9755,-108,1974820,200870000,9900,false
20250508,delta,2,9752,-3,1975680,200880000,900,false
20250509,delta,2,9851,102,1976540,200890000,2000,false
20250512,delta,2,9715,-138,1977400,200900000,3100,false
20250513,delta,2,9683,-33,1978260,200910000,4200,false
20250514,delta,2,9753,72,1979120,200920000,5300,false
20250515,delta,2,9589,-168,1979980,200930000,6400,false
20250516,delta,2,9529,-63,1980840,200940000,7500,false
20250519,delta,2,9569,42,1981700,200950000,8600,false
20250520,delta,2,9710,147,1982560,200960000,9700,false
20250521,delta,2,9620,-93,1983420,200970000,700,false
20250522,delta,2,9632,12,1984280,200980000,1800,false
20250523,delta,2,9745,117,1985140,200990000,2900,false
20250526,delta,2,9625,-123,1986000,201000000,4000,false
20250527,delta,2,9608,-18,1986860,201010000,5100,false
20250528,delta,2,9692,87,1987720,201020000,6200,false
20250529,delta,2,9544,-153,1988580,201030000,7300,false
20250530,delta,2,9498,-48,1989440,201040000,8400,false
20250602,delta,2,9552,57,1990300,201050000,9500,false
20250603,delta,2,9707,162,1991160,201060000,500,false
20250604,delta,2,9631,-78,1992020,201070000,1600,false
20250605,delta,2,9657,27,1992880,201080000,2700,false
20250606,delta,2,9784,132,1993740,201090000,3800,false
20250609,delta,2,9678,-108,1994600,201100000,4900,false
20250610,delta,2,9675,-3,1995460,201110000,6000,false
20250611,delta,2,9774,102,1996320,201120000,7100,false
20250612,delta,2,9639,-138,1997180,201130000,8200,false
20250613,delta,2,9607,-33,1998040,201140000,9300,false
20250616,delta,2,9676,72,1998900,201150000,300,false
20250617,delta,2,9513,-168,1999760,201160000,1400,false
20250618,delta,2,9453,-63,2000620,201170000,2500,false
20250619,delta,2,9493,42,2001480,201180000,3600,false
20250620,delta,2,9633,147,2002340,201190000,4700,false
20250623,delta,2,9543,-93,2003200,201200000,5800,false
20250624,delta,2,9554,12,2004060,201210000,6900,false
20250625,delta,2,9666,117,2004920,201220000,8000,false
20250626,delta,2,9547,-123,2005780,201230000,9100,false
20250627,delta,2,9530,-18,2006640,201240000,100,false
20250630,delta,2,9613,87,2007500,201250000,1200,false
20250701,delta,2,9466,-153,2008360,201260000,2300,false
20250702,delta,2,9421,-48,2009220,201270000,3400,false
20250703,delta,2,9475,57,2010080,201280000,4500,false
20250704,delta,2,9628,162,2010940,201290000,5600,false
20250707,delta,2,9553,-78,2011800,201300000,6700,false
20250708,delta,2,9579,27,2012660,201310000,7800,false
20250709,delta,2,9705,132,2013520,201320000,8900,false
20250710,delta,2,9600,-108,2014380,201330000,10000,false
20250711,delta,2,9597,-3,2015240,201340000,1000,false
20250714,delta,2,9695,102,2016100,201350000,2100,false
20250715,delta,2,9561,-138,2016960,201360000,3200,false
20250716,delta,2,9529,-33,2017820,201370000,4300,false
20250717,delta,2,9598,72,2018680,201380000,5400,false
20250718,delta,2,9437,-168,2019540,201390000,6500,false
20250721,delta,2,9378,-63,2020400,201400000,7600,false
20250722,delta,2,9417,42,2021260,201410000,8700,false
20250723,delta,2,9555,147,2022120,201420000,9800,false
20250724,delta,2,9466,-93,2022980,201430000,800,false
20250725,delta,2,9477,12,2023840,201440000,1900,false
20250728,delta,2,9588,117,2024700,201450000,3000,false
20250729,delta,2,9470,-123,2025560,201460000,4100,false
20250730,delta,2,9453,-18,2026420,201470000,5200,false
20250731,delta,2,9535,87,2027280,201480000,6300,false
20250801,delta,2,9389,-153,2028140,201490000,7400,false
20250106,echo,0,,,,,6800,true
20250107,echo,0,,,,,7900,true
20250108,echo,0,,,,,9000,true
20250109,echo,0,,,,,0,true
20250110,echo,0,,,,,1100,true
20250113,echo,0,,,,,2200,true
20250114,echo,0,,,,,3300,true
20250115,echo,0,,,,,4400,true
20250116,echo,0,,,,,5500,true
20250117,echo,0,,,,,6600,true
20250120,echo,0,,,,,7700,true
20250121,echo,0,,,,,8800,true
20250122,echo,0,,,,,9900,true
20250123,echo,0,,,,,900,true
20250124,echo,0,,,,,2000,true
20250127,echo,0,,,,,3100,true
20250128,echo,0,,,,,4200,true
20250129,echo,0,,,,,5300,true
20250130,echo,0,,,,,6400,true
20250131,echo,0,,,,,7500,true
20250203,echo,0,,,,,8600,true
20250204,echo,0,,,,,9700,true
20250205,echo,0,,,,,700,true
20250206,echo,0,,,,,1800,true
20250207,echo,0,,,,,2900,true
20250210,echo,0,,,,,4000,true
20250211,echo,0,,,,,5100,true
20250212,echo,0,,,,,6200,true
20250213,echo,0,,,,,7300,true
20250214,echo,0,,,,,8400,true
20250217,echo,0,,,,,9500,true
20250218,echo,0,,,,,500,true
20250219,echo,0,,,,,1600,true
20250220,echo,0,,,,,2700,true
20250221,echo,0,,,,,3800,true
20250224,echo,0,,,,,4900,true
20250225,echo,0,,,,,6000,true
20250226,echo,0,,,,,7100,true
20250227,echo,0,,,,,8200,true
20250228,echo,0,,,,,9300,true
20250303,echo,0,,,,,300,true
20250304,echo,0,,,,,1400,true
20250305,echo,0,,,,,2500,true
20250306,echo,0,,,,,3600,true
20250307,echo,0,,,,,4700,true
20250310,echo,0,,,,,5800,true
20250311,echo,0,,,,,6900,true
20250312,echo,0,,,,,8000,true
20250313,echo,0,,,,,9100,true
20250314,echo,0,,,,,100,true
20250317,echo,0,,,,,1200,true
20250318,echo,0,,,,,2300,true
20250319,echo,0,,,,,3400,true
20250320,echo,0,,,,,4500,true
20250321,echo,0,,,,,5600,true
20250324,echo,0,,,,,6700,true
20250325,echo,0,,,,,7800,true
20250326,echo,0,,,,,8900,true
20250327,echo,0,,,,,10000,true
20250328,echo,0,,,,,1000,true
20250331,echo,0,,,,,2100,true
20250401,echo,0,,,,,3200,true
20250402,echo,0,,,,,4300,true
20250403,echo,0,,,,,5400,true
20250404,echo,0,,,,,6500,true
20250407,echo,0,,,,,7600,true
20250408,echo,0,,,,,8700,true
20250409,echo,0,,,,,9800,true
20250410,echo,0,,,,,800,true
20250411,echo,0,,,,,1900,true
20250414,echo,0,,,,,3000,true
20250415,echo,0,,,,,4100,true
20250416,echo,0,,,,,5200,true
20250417,echo,0,,,,,6300,true
20250418,echo,0,,,,,7400,true
20250421,echo,0,,,,,8500,true
20250422,echo,0,,,,,9600,true
20250423,echo,0,,,,,600,true
20250424,echo,0,,,,,1700,true
20250425,echo,0,,,,,2800,true
20250428,echo,0,,,,,3900,true
20250429,echo,0,,,,,5000,true
20250430,echo,0,,,,,6100,true
20250501,echo,0,,,,,7200,true
20250502,echo,0,,,,,8300,true
20250505,echo,0,,,,,9400,true
20250506,echo,0,,,,,400,true
20250507,echo,0,,,,,1500,true
20250508,echo,0,,,,,2600,true
20250509,echo,0,,,,,3700,true
20250512,echo,0,,,,,4800,true
20250513,echo,0,,,,,5900,true
20250514,echo,0,,,,,7000,true
20250515,echo,0,,,,,8100,true
20250516,echo,0,,,,,9200,true
20250519,echo,0,,,,,200,true
20250520,echo,0,,,,,1300,true
20250521,echo,0,,,,,2400,true
20250522,echo,0,,,,,3500,true
20250523,echo,0,,,,,4600,true
20250526,echo,0,,,,,5700,true
20250527,echo,0,,,,,6800,true
20250528,echo,0,,,,,7900,true
20250529,echo,0,,,,,9000,true
20250530,echo,0,,,,,0,true
20250602,echo,0,,,,,1100,true
20250603,echo,0,,,,,2200,true
20250604,echo,0,,,,,3300,true
20250605,echo,0,,,,,4400,true
20250606,echo,0,,,,,5500,true
20250609,echo,0,,,,,6600,true
20250610,echo,0,,,,,7700,true
20250611,echo,0,,,,,8800,true
20250612,echo,0,,,,,9900,true
20250613,echo,0,,,,,900,true
20250616,echo,0,,,,,2000,true
20250617,echo,0,,,,,3100,true
20250618,echo,0,,,,,4200,true
20250619,echo,0,,,,,5300,true
20250620,echo,0,,,,,6400,true
20250623,echo,0,,,,,7500,true
20250624,echo,0,,,,,8600,true
20250625,echo,0,,,,,9700,true
20250626,echo,0,,,,,700,true
20250627,echo,0,,,,,1800,true
20250630,echo,0,,,,,2900,true
20250701,echo,0,,,,,4000,true
20250702,echo,0,,,,,5100,true
20250703,echo,0,,,,,6200,true
20250704,echo,0,,,,,7300,true
20250707,echo,0,,,,,8400,true
20250708,echo,0,,,,,9500,true
20250709,echo,0,,,,,500,true
20250710,echo,0,,,,,1600,true
20250711,echo,0,,,,,2700,true
20250714,echo,0,,,,,3800,true
20250715,echo,0,,,,,4900,true
20250716,echo,0,,,,,6000,true
20250717,echo,0,,,,,7100,true
20250718,echo,0,,,,,8200,true
20250721,echo,0,,,,,9300,true
20250722,echo,0,,,,,300,true
20250723,echo,0,,,,,1400,true
20250724,echo,0,,,,,2500,true
20250725,echo,0,,,,,3600,true
20250728,echo,0,,,,,4700,true
20250729,echo,0,,,,,5800,true
20250730,echo,0,,,,,6900,true
20250731,echo,0,,,,,8000,true
20250801,echo,0,,,,,9100,true
20250106,foxtrot,2,9940,-60,1000000,200000000,0,false
20250107,foxtrot,2,9922,-18,1000500,200010000,1100,false
20250108,foxtrot,2,9946,24,1001000,200020000,2200,false
20250109,foxtrot,2,10012,66,1001500,200030000,3300,false
20250110,foxtrot,2,9982,-30,1002000,200040000,4400,false
20250113,foxtrot,2,9994,12,1002500,200050000,5500,false
20250114,foxtrot,2,10048,54,1003000,200060000,6600,false
20250115,foxtrot,2,10006,-42,1003500,200070000,7700,false
20250116,foxtrot,2,10006,0,1004000,200080000,8800,false
20250117,foxtrot,2,10048,42,1004500,200090000,9900,false
20250120,foxtrot,2,9994,-54,1005000,200100000,900,false
20250121,foxtrot,2,9982,-12,1005500,200110000,2000,false
20250122,foxtrot,2,10012,30,1006000,200120000,3100,false
20250123,foxtrot,2,10084,72,1006500,200130000,4200,false
20250124,foxtrot,2,10060,-24,1007000,200140000,5300,false
20250127,foxtrot,2,10078,18,1007500,200150000,6400,false
20250128,foxtrot,2,10138,60,1008000,200160000,7500,false
20250129,foxtrot,2,10102,-36,1008500,200170000,8600,false
20250130,foxtrot,2,10108,6,1009000,200180000,9700,false
20250131,foxtrot,2,10157,48,1009500,200190000,700,false
20250203,foxtrot,2,10108,-48,1010000,200200000,1800,false
20250204,foxtrot,2,10102,-6,1010500,200210000,2900,false
20250205,foxtrot,2,10138,36,1011000,200220000,4000,false
20250206,foxtrot,2,10077,-60,1011500,200230000,5100,false
20250207,foxtrot,2,10059,-18,1012000,200240000,6200,false
20250210,foxtrot,2,10083,24,1012500,200250000,7300,false
20250211,foxtrot,2,10150,66,1013000,200260000,8400,false
20250212,foxtrot,2,10120,-30,1013500,200270000,9500,false
20250213,foxtrot,2,10132,12,1014000,200280000,500,false
20250214,foxtrot,2,10187,54,1014500,200290000,1600,false
20250217,foxtrot,2,10144,-42,1015000,200300000,2700,false
20250218,foxtrot,2,10144,0,1015500,200310000,3800,false
20250219,foxtrot,2,10187,42,1016000,200320000,4900,false
20250220,foxtrot,2,10132,-54,1016500,200330000,6000,false
20250221,foxtrot,2,10120,-12,1017000,200340000,7100,false
20250224,foxtrot,2,10150,30,1017500,200350000,8200,false
20250225,foxtrot,2,10223,72,1018000,200360000,9300,false
20250226,foxtrot,2,10198,-24,1018500,200370000,300,false
20250227,foxtrot,2,10216,18,1019000,200380000,1400,false
20250228,foxtrot,2,10277,60,1019500,200390000,2500,false
20250303,foxtrot,2,10240,-36,1020000,200400000,3600,false
20250304,foxtrot,2,10246,6,1020500,200410000,4700,false
20250305,foxtrot,2,10295,48,1021000,200420000,5800,false
20250306,foxtrot,2,10246,-48,1021500,200430000,6900,false
20250307,foxtrot,2,10240,-6,1022000,200440000,8000,false
20250310,foxtrot,2,10277,36,1022500,200450000,9100,false
20250311,foxtrot,2,10215,-60,1023000,200460000,100,false
20250312,foxtrot,2,10197,-18,1023500,200470000,1200,false
20250313,foxtrot,2,10221,24,1024000,200480000,2300,false
20250314,foxtrot,2,10288,66,1024500,200490000,3400,false
20250317,foxtrot,2,10257,-30,1025000,200500000,4500,false
20250318,foxtrot,2,10269,12,1025500,200510000,5600,false
20250319,foxtrot,2,10324,54,1026000,200520000,6700,false
20250320,foxtrot,2,10281,-42,1026500,200530000,7800,false
20250321,foxtrot,2,10281,0,1027000,200540000,8900,false
20250324,foxtrot,2,10324,42,1027500,200550000,10000,false
20250325,foxtrot,2,10268,-54,1028000,200560000,1000,false
20250326,foxtrot,2,10256,-12,1028500,200570000,2100,false
20250327,foxtrot,2,10287,30,1029000,200580000,3200,false
20250328,foxtrot,2,10361,72,1029500,200590000,4300,false
20250331,foxtrot,2,10336,-24,1030000,200600000,5400,false
20250401,foxtrot,2,10355,18,1030500,200610000,6500,false
20250402,foxtrot,2,10417,60,1031000,200620000,7600,false
20250403,foxtrot,2,10379,-36,1031500,200630000,8700,false
20250404,foxtrot,2,10385,6,1032000,200640000,9800,false
20250407,foxtrot,2,10435,48,1032500,200650000,800,false
20250408,foxtrot,2,10385,-48,1033000,200660000,1900,false
20250409,foxtrot,2,10379,-6,1033500,200670000,3000,false
20250410,foxtrot,2,10416,36,1034000,200680000,4100,false
20250411,foxtrot,2,10354,-60,1034500,200690000,5200,false
20250414,foxtrot,2,10335,-18,1035000,200700000,6300,false
20250415,foxtrot,2,10360,24,1035500,200710000,7400,false
20250416,foxtrot,2,10428,66,1036000,200720000,8500,false
20250417,foxtrot,2,10397,-30,1036500,200730000,9600,false
20250418,foxtrot,2,10409,12,1037000,200740000,600,false
20250421,foxtrot,2,10465,54,1037500,200750000,1700,false
20250422,foxtrot,2,10421,-42,1038000,200760000,2800,false
20250423,foxtrot,2,10421,0,1038500,200770000,3900,false
20250424,foxtrot,2,10465,42,1039000,200780000,5000,false
20250425,foxtrot,2,10408,-54,1039500,200790000,6100,false
20250428,foxtrot,2,10396,-12,1040000,200800000,7200,false
20250429,foxtrot,2,10427,30,1040500,200810000,8300,false
20250430,foxtrot,2,10502,72,1041000,200820000,9400,false
20250501,foxtrot,2,10477,-24,1041500,200830000,400,false
20250502,foxtrot,2,10496,18,1042000,200840000,1500,false
20250505,foxtrot,2,10559,60,1042500,200850000,2600,false
20250506,foxtrot,2,10521,-36,1043000,200860000,3700,false
20250507,foxtrot,2,10527,6,1043500,200870000,4800,false
20250508,foxtrot,2,10578,48,1044000,200880000,5900,false
20250509,foxtrot,2,10527,-48,1044500,200890000,7000,false
20250512,foxtrot,2,10521,-6,1045000,200900000,8100,false
20250513,foxtrot,2,10559,36,1045500,200910000,9200,false
20250514,foxtrot,2,10496,-60,1046000,200920000,200,false
20250515,foxtrot,2,10477,-18,1046500,200930000,1300,false
20250516,foxtrot,2,10502,24,1047000,200940000,2400,false
20250519,foxtrot,2,10571,66,1047500,200950000,3500,false
20250520,foxtrot,2,10539,-30,1048000,200960000,4600,false
20250521,foxtrot,2,10552,12,1048500,200970000,5700,false
20250522,foxtrot,2,10609,54,1049000,200980000,6800,false
20250523,foxtrot,2,10564,-42,1049500,200990000,7900,false
20250526,foxtrot,2,10564,0,1050000,201000000,9000,false
20250527,foxtrot,2,10608,42,1050500,201010000,0,false
20250528,foxtrot,2,10551,-54,1051000,201020000,1100,false
20250529,foxtrot,2,10538,-12,1051500,201030000,2200,false
20250530,foxtrot,2,10570,30,1052000,201040000,3300,false
20250602,foxtrot,2,10646,72,1052500,201050000,4400,false
20250603,foxtrot,2,10620,-24,1053000,201060000,5500,false
20250604,foxtrot,2,10639,18,1053500,201070000,6600,false
20250605,foxtrot,2,10703,60,1054000,201080000,7700,false
20250606,foxtrot,2,10664,-36,1054500,201090000,8800,false
20250609,foxtrot,2,10670,6,1055000,201100000,9900,false
20250610,foxtrot,2,10721,48,1055500,201110000,900,false
20250611,foxtrot,2,10670,-48,1056000,201120000,2000,false
20250612,foxtrot,2,10664,-6,1056500,201130000,3100,false
20250613,foxtrot,2,10702,36,1057000,201140000,4200,false
20250616,foxtrot,2,10638,-60,1057500,201150000,5300,false
20250617,foxtrot,2,10619,-18,1058000,201160000,6400,false
20250618,foxtrot,2,10644,24,1058500,201170000,7500,false
20250619,foxtrot,2,10714,66,1059000,201180000,8600,false
20250620,foxtrot,2,10682,-30,1059500,201190000,9700,false
20250623,foxtrot,2,10695,12,1060000,201200000,700,false
20250624,foxtrot,2,10753,54,1060500,201210000,1800,false
20250625,foxtrot,2,10708,-42,1061000,201220000,2900,false
20250626,foxtrot,2,10708,0,1061500,201230000,4000,false
20250627,foxtrot,2,10753,42,1062000,201240000,5100,false
20250630,foxtrot,2,10695,-54,1062500,201250000,6200,false
20250701,foxtrot,2,10682,-12,1063000,201260000,7300,false
20250702,foxtrot,2,10714,30,1063500,201270000,8400,false
20250703,foxtrot,2,10791,72,1064000,201280000,9500,false
20250704,foxtrot,2,10765,-24,1064500,201290000,500,false
20250707,foxtrot,2,10784,18,1065000,201300000,5000,false
20250708,foxtrot,2,10849,60,1065500,201310000,2700,false
20250709,foxtrot,2,10810,-36,1066000,201320000,3800,false
20250710,foxtrot,2,10816,6,1066500,201330000,4900,false
20250711,foxtrot,2,10868,48,1067000,201340000,6000,false
20250714,foxtrot,2,10816,-48,1067500,201350000,7100,false
20250715,foxtrot,2,10810,-6,1068000,201360000,8200,false
20250716,foxtrot,2,10849,36,1068500,201370000,9300,false
20250717,foxtrot,2,10784,-60,1069000,201380000,300,false
20250718,foxtrot,2,10765,-18,1069500,201390000,1400,false
20250721,foxtrot,2,10791,24,1070000,201400000,2500,false
20250722,foxtrot,2,10862,66,1070500,201410000,3600,false
20250723,foxtrot,2,10829,-30,1071000,201420000,4700,false
20250724,foxtrot,2,10842,12,1071500,201430000,5800,false
20250725,foxtrot,2,10901,54,1072000,201440000,6900,false
20250728,foxtrot,2,10855,-42,1072500,201450000,8000,false
20250729,foxtrot,2,10855,0,1073000,201460000,9100,false
20250730,foxtrot,2,10901,42,1073500,201470000,100,false
20250731,foxtrot,2,10842,-54,1074000,201480000,1200,false
20250801,foxtrot,2,10829,-12,1074500,201490000,2300,false
